text,label
I love this product it is absolutely amazing,positive
This is the worst experience I have ever had,negative
The weather today is cloudy and mild,neutral
Just had the best coffee of my life so happy,positive
Disgusting service never coming back again,negative
The meeting is scheduled for 3 PM tomorrow,neutral
Outstanding performance the team exceeded expectations,positive
Horrible customer support they ignored my complaint,negative
The new software update has been released,neutral
This movie was so touching I cried tears of joy,positive
I am so frustrated with this broken app nothing works,negative
The quarterly report shows a 5 percent increase in revenue,neutral
Absolutely thrilled with my new phone best purchase ever,positive
What a disappointment expected so much more from this brand,negative
Scientists have discovered a new species of fish,neutral
The concert was phenomenal the crowd was electric,positive
This food is absolutely disgusting how can anyone eat this,negative
The library will be closed on Monday for maintenance,neutral
So grateful for all the support and love from my friends,positive
Terrible traffic today stuck in a jam for two hours,negative
The price of oil has increased by 3 percent this week,neutral
Just got promoted at work hard work really pays off,positive
The service was extremely rude and unprofessional,negative
The train arrives at platform 7 at 6 30 AM every morning,neutral
What a beautiful sunny day feeling so alive and full of energy,positive
Cannot believe how bad this product is total waste of money,negative
The government has announced new infrastructure plans,neutral
My team won the championship dreams really do come true,positive
Lost my wallet today this day cannot get any worse,negative
The documentary explores the history of ancient civilizations,neutral
Incredible experience at the museum learning so much,positive
Stuck in bed with a terrible cold feeling absolutely miserable,negative
The bank operates from 9 AM to 5 PM on weekdays,neutral
This book changed my perspective on life highly recommend,positive
The landlord refuses to fix anything living conditions are awful,negative
The university will begin accepting applications for fall semester,neutral
Fantastic birthday surprise my friends are truly the best,positive
This is completely broken and useless I demand a full refund,negative
Construction work will continue on Main Street for two weeks,neutral
Fell in love with this restaurant the food was extraordinary,positive
My flight was cancelled and no one bothered to notify me furious,negative
The new policy will come into effect starting January 1st,neutral
Proud of my daughters graduation she worked so hard for this,positive
The app keeps crashing every five minutes extremely unreliable,negative
Researchers have published a new study on climate change,neutral
Best vacation ever the beaches were stunning and food divine,positive
Waited 45 minutes for my order it arrived cold and wrong,negative
The annual conference will be held in Chicago this November,neutral
Finally finished my thesis years of hard work paying off,positive
The internet has been down for 8 hours completely unacceptable,negative
The committee will review the proposal next week,neutral
Such an inspiring speech really motivated me to chase my dreams,positive
Ripped off by this company never trust their advertising,negative
The store opens at 10 AM and closes at 9 PM daily,neutral
Amazing customer service they went above and beyond to help,positive
I hate this city noisy dirty and the people are unfriendly,negative
The temperature today is expected to reach 25 degrees,neutral
This workout routine is absolutely transforming my body,positive
Embarrassingly poor quality for the price they charge,negative
The elections will be held on the first Tuesday of next month,neutral
Thrilled to announce that I got accepted to my dream university,positive
Zero stars if I could the worst hotel I have ever stayed in,negative
The survey results will be published in the quarterly report,neutral
This is absolutely the best decision I have ever made in my life,positive
Misleading description product looks nothing like the photos,negative
The company will release its financial results on Thursday,neutral
So thankful for the kind strangers who helped me when I was lost,positive
Absolutely exhausted and drained from this toxic work environment,negative
The spacecraft successfully reached its designated orbit,neutral
The sunrise this morning was breathtaking nature is so beautiful,positive
Completely let down by this service they promised and failed,negative
The department will undergo a restructuring process soon,neutral
Overjoyed to announce my engagement she said yes best day ever,positive
This is daylight robbery paid triple the market price for nothing,negative
The museum will display the artifact collection from Tuesday to Sunday,neutral
Won first place at the science fair all the hard work paid off,positive
The system is completely broken nothing has worked since the update,negative
The new bridge connecting the two districts will open next spring,neutral
Crying happy tears my novel just got published after 5 years,positive
Worst experience of my entire life I want to forget this happened,negative
The council will vote on the proposed budget amendments on Friday,neutral
I am so blessed to have such wonderful people in my life,positive
This product literally broke on the first day total garbage,negative
The athlete completed the race in 9 8 seconds setting a new record,neutral
Just finished reading the most amazing book cannot wait for sequel,positive
Absolutely regretting this purchase money completely down the drain,negative
The parliament will reconvene after the holiday break,neutral
My startup just closed its first funding round dreams becoming reality,positive
Deeply unhappy with this service it has ruined my entire week,negative
The annual budget review meeting will take place on March 15th,neutral
So excited about this new opportunity cannot believe this is happening,positive
Disgusting attitude from staff I will never return to this place,negative
The satellite data shows an increase in ocean temperatures,neutral
This app has completely changed how I manage my time so efficient,positive
Three hours waiting on hold and still no solution given infuriating,negative
The foundation was established to support local education,neutral
Married my best friend today happiest day of my entire life,positive
Scammed online lost all my savings this company is fraudulent,negative
The highway will be under maintenance every Sunday night until April,neutral
Incredible journey this experience has made me grow so much,positive
